month,states,count
2020-01,,0
2020-02,,0
2020-03,,0
2020-04,,0
2020-05,CA;FL;NY,3
2020-06,CA;FL;IL;MA;MI;NJ;NY;TX,8
2020-07,CA;FL;GA;IL;LA;MA;MD;MI;MN;NC;NJ;NY;OH;PA;TN;TX;VA;WA;WI,19
2020-08,AZ;CA;CO;CT;FL;GA;IL;IN;LA;MA;MD;MI;MN;MO;NC;NJ;NY;OH;PA;TN;TX;VA;WA;WI,24
2020-09,AL;AR;AZ;CA;CO;CT;FL;GA;IL;IN;KY;LA;MA;MD;MI;MN;MO;NC;NJ;NV;NY;OH;OK;PA;SC;TN;TX;UT;VA;WA;WI,31
2020-10,AL;AR;AZ;CA;CO;CT;FL;GA;IL;IN;KY;LA;MA;MD;MI;MN;MO;NC;NJ;NM;NV;NY;OH;OK;PA;RI;SC;TN;TX;UT;VA;WA;WI,33
2020-11,AK;AL;AR;AZ;CA;CO;CT;FL;GA;IA;IL;IN;KY;LA;MA;MD;MI;MN;MO;MS;NC;ND;NE;NJ;NM;NV;NY;OH;OK;OR;PA;RI;SC;TN;TX;UT;VA;WA;WI;WV,40
2020-12,AK;AL;AR;AZ;CA;CO;CT;FL;GA;IA;IL;IN;KY;LA;MA;MD;MI;MN;MO;MS;NC;ND;NE;NJ;NM;NV;NY;OH;OK;OR;PA;RI;SC;TN;TX;UT;VA;WA;WI;WV,40
